Title,Date,Location,Description,Link
Loud Poets Open Mic,Selected dates between 29th September 2025 - 8th December 2025,N/A,"Loud Poets invite poets to share their work at their regular open mic, taking place monthly at the Scottish Storytelling Centre.",https://www.whatsoninedinburgh.co.uk/event/161264-loud-poets-open-mic/
Scotland’s Gardens Scheme Open Garden: Dawson’s Garden,6th January 2025 - 21st December 2025,N/A,"Dawson’s Garden is a small cottage garden, full of surprises and designed to please the senses all year round with colour, form and scent.",https://www.whatsonfife.co.uk/event/151094-scotland’s-gardens-scheme-open-garden:-dawson’s-garden/
Small Business Market,28th March 2025 - 24th December 2025,N/A,Small Business Market is a monthly market based within Dunfermline's Kingsgate Shopping Centre featuring over 25 small businesses each month selling handmade crafts and more!,https://www.whatsonfife.co.uk/event/095470-small-business-market/
Big Fish,10th November 2025 - 12th November 2025,N/A,"MusT return in November with Big Fish, the story of Edward Bloom, a travelling salesman whose incredible, larger-than-life stories thrill everyone around him.",https://www.whatsonfife.co.uk/event/161575-big-fish/
Get Walking Lanarkshire Health Walks,1st January 2025 - 31st December 2025,N/A,"Join Get Walking Lanarkshire on one of their regular health walks! Enjoy the fresh air, meet new people and have a good blether!",https://www.whatsonlanarkshire.co.uk/event/041701-get-walking-lanarkshire-health-walks/
Bookbug at North Lanarkshire Heritage Centre,Selected dates between 6th January 2025 - 20th December 2025,N/A,"Free, fun and fantastic! North Lanarkshire Heritage Centre hold Bookbug sessions on Mondays during term time and every Saturday!",https://www.whatsonlanarkshire.co.uk/event/032744-bookbug-at-north-lanarkshire-heritage-centre/
Two & Tending - CANCELLED,8th November 2025 - 11th November 2025,N/A,Enjoy two plays for the price of one when East Kilbride Rep Theatre Club return to East Kilbride Arts Centre in October with Two and Tending.,https://www.whatsonlanarkshire.co.uk/event/158751-two-&-tending---cancelled/
Renfrewshire Bookbug Sessions,Selected dates between 6th January 2025 - 20th December 2025,N/A,"Free, fun and fantastic! Renfrewshire Libraries run several interactive song, rhyme and story Bookbug sessions throughout the week!",https://www.whatsonrenfrewshire.co.uk/event/017489-renfrewshire-bookbug-sessions/
Women’s Recreational Football,Selected dates between 18th June 2025 - 29th April 2026,N/A,"This recreational football session is for females aged 18 and above and of all abilities. It offers you the chance to play, enjoy the game, improve skills and connect with others.",https://www.whatsonrenfrewshire.co.uk/event/157271-women’s-recreational-football/
Buds Bootcamp,Selected dates between 26th May 2025 - 29th April 2026,N/A,"St Mirren FC Charitable Foundation's Buds Bootcamp is back. With fitness testing, upgraded sessions, energising workouts, and a whole lot of motivation, there's never been a better time to start!",https://www.whatsonrenfrewshire.co.uk/event/156051-buds-bootcamp/
The Man Who Could Paint Anything – The Legacy of Thomas Stuart Smith,1st March 2023 - 1st January 2028,N/A,This exhibition showcases some of The Stirling Smith Art Gallery and Museum’s remarkable art collection.,https://www.whatsonstirling.co.uk/event/093274-the-man-who-could-paint-anything-–-the-legacy-of-thomas-stuart-smith/
Scotland’s Gardens Scheme Open Garden: The Japanese Garden at Cowden,1st January 2025 - 31st December 2025,N/A,NA,https://www.whatsonstirling.co.uk/event/151089-scotland’s-gardens-scheme-open-garden:-the-japanese-garden-at-cowden/
Aerial Yoga,14th April 2025 - 31st March 2026,N/A,"Feeling inspired to try something new or expand your existing practice? Then join Andriani's Ahimsa Yoga at 3 Wellgreen Lane, Stirling for these Aerial Yoga classes on Mondays & Tuesdays!",https://www.whatsonstirling.co.uk/event/154049-aerial-yoga/
